case_id,title,organization,market,url,source_type,target_audience,packaging_pattern,product_family,status,first_seen,last_checked,notes
TW-027,製造業 AI 落地決策工作坊：親手鍛造安全、合規與實質獲利的AI導入計畫,工研院產業學習網,台灣,https://college.itri.org.tw/Lesson/LessonData/9D1F352C-3E84-4E47-914C-5F492DC1BB890?mode=preview,混成工作坊,製造業各級主管與AI導入負責人,安全紅線ROI人機協作到Pilot Plan,企業／主管戰情室,A級46分,2026-09-16,2026-09-16,"課程候選；本週台灣最高分，可借Pilot Plan、紅線、數據健檢、ROI與人機協作"
TW-028,人資 AI Agent 工作坊：招募自動化與桌面工作代理數據分析,Aiworks／Accupass,台灣,https://www.accupass.com/event/2606040324161498081134,實體工作坊,HR Ops HRBP人資主管與招募團隊,職能型Agent任務包加個資風險,個人 AI 工作台,A級43分,2026-09-16,2026-09-16,"課程候選；可借單一職能任務拆解與個資偏誤風險提示，不鎖定工具門檻"
TW-029,GenAI 辦公室數位轉型實戰工作坊,資策會iEvent,台灣,https://ievents.iii.org.tw/EventS.aspx?id=3217&t=0,系列工作坊,學校行政教學助理與企業行政人資業務人員,辦公室文書報表簡報多工具實作,個人 AI 工作台,B級39分,2026-09-16,2026-09-16,"持續觀察；場景素材完整但工具面太寬，短課不宜承諾全套辦公室轉型"
INT-021,Navigating AI Transformation Series,TCU Neeley Executive Education,美國,https://neeley.tcu.edu/degrees-programs/executive-education/navigating-ai.php,主管系列課程,C-suite senior executives executives directors,AI流程重設operating model與hybrid teams,企業／主管戰情室,A級44分,2026-09-16,2026-09-16,"課程候選；可借半日到一日模組拆法，流程職能operating model到hybrid teams"
INT-022,Reinventing the Organization with AI,Harvard Online,美國,https://harvardonline.harvard.edu/course/reinventing-the-organization-with-ai,線上主管課程,leaders teams與enterprise adoption owners,AI組織條件people strategy與adoption,企業／主管戰情室,A級43分,2026-09-16,2026-09-16,"顧問洞察；可借advocacy resistance people strategy與operating models，短課不宣稱組織改造"
INT-023,AI Operating Models and Organizational Design,IBM／Coursera,國際,https://www.coursera.org/learn/ibm-ai-operating-models-organizational-design,線上課程,AI transformation與organizational design leaders,operating model decision rights accountability map,企業／主管戰情室,A級45分,2026-09-16,2026-09-16,"課程候選；可借centralized federated hub-and-spoke與決策權責地圖"
INT-024,Agentic AI for Business,Columbia Video Network,美國,https://cvn.columbia.edu/content/agentic-ai,高階主管課程,business leaders executives,無程式agent建置與AI workforce治理挑戰,企業／主管戰情室,A級42分,2026-09-16,2026-09-16,"持續觀察；可借agentic systems治理挑戰，但偏高階且工具系統深度較重"
INT-025,The AI-Ready Organisation: From Strategy to Execution,LSE Executive Education,英國,https://www.lse.ac.uk/study-at-lse/executive-education/programmes/ai-ready-organisation,線上證書課程,AI transformation leaders與非技術主管,strategy到execution與bottom-line proof,企業／主管戰情室,A級44分,2026-09-16,2026-09-16,"課程候選；可借strategy-to-execution與bottom-line proof，Mandy版本需降維為試點責任圖"
TW-030,Agent in a Box｜打造企業 AI Agent 實戰工作坊,先行智庫／安然科技,台灣,https://aict.nkust.edu.tw/digitrans/?p=12687,實體工作坊,企業AI導入負責人與跨部門流程推動者,地端Agent加資料安全與流程整合,企業／主管戰情室,A級43分,2026-09-20,2026-09-20,"課程候選；可借機密資料、部署環境、使用成本、既有流程整合與現場建Agent；Mandy短課需改成導入條件檢核"
TW-031,企業 AI 導入實戰：從選題到落地,沂動行銷／智慧方案,台灣,https://www.accupass.com/event/2608280445086678822920,實體研討會,企業主管與AI協同能力推動團隊,選題到Demo到20小時落地規劃,企業／主管戰情室,A級42分,2026-09-20,2026-09-20,"課程候選；可借流程問題起手、企業案例、現場Demo與短週期落地規劃；不可承諾單場完成正式上線"
TW-032,企業 AI 落地實戰班｜從 AI 工具到 AI Agent,先行智庫／MaiAgent,台灣,https://cl.linkedin.com/company/%E5%85%88%E8%A1%8C%E6%99%BA%E5%BA%AB%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,實體公開班,已使用生成式AI且想建立Agent的企業工作者,設計建置測試一輪Agent,個人 AI 工作台,B級41分,2026-09-20,2026-09-20,"持續觀察；社群貼文訊號顯示市場從我會用AI推向我會做Agent，需補正式課程頁驗證"
TW-033,AI Agent智慧系統自動流實戰班,經濟部產業競爭力輔導團／資策會,台灣,https://moeai-plus.ouorange.com/,補助課程列表,產業轉型與自動化導入學員,產業補助加智慧系統自動流實作,個人 AI 工作台,B級40分,2026-09-20,2026-09-20,"顧問洞察；補助列表顯示AI Agent與智慧工作流已進政府培訓管道，但缺細課綱與成品驗收"
TW-034,陪跑版 AI 雙課套組,天下學習,台灣,https://www.cwlearning.com.tw/plans/a67663a5-dfac-4bfe-9bb6-44f24a931fc8,線上課程加陪跑,主管與知識工作者,雙課加90天陪跑與共學校準,企業／主管戰情室,A級44分,2026-09-20,2026-09-20,"課程候選；可借AI管理課加個人工作流加90天陪跑，支持Mandy把導入節奏做成課後驗證而非加大課堂承諾"
INT-026,Agentic AI for Business Leaders: Strategy ROI & Governance,Udacity,國際,https://www.udacity.com/course/agentic-ai-for-business-leaders--cd14381,線上課程,商業主管高階主管IT經理,7小時主管課加90天wins與expense reporting專案,企業／主管戰情室,A級43分,2026-09-20,2026-09-20,"課程候選；可借agent washing辨識、build/buy/partner、fail gracefully、90天無聊問題出貨；Mandy短課取決策門檻"
INT-027,Building AI Agents for Business Efficiency,Emory Goizueta Executive Education,美國,https://business.emory.edu/executive-education/short-courses/ai-agents,線上主管工作坊,職能主管營運經理分析師顧問與創新專業者,兩個2小時session到production-ready workflow與90天roadmap,個人 AI 工作台,A級44分,2026-09-20,2026-09-20,"課程候選；可借從機會盤點、第一個Agent、production-ready到90天部署；適合轉成個人工作台上線驗收卡"
INT-028,AI Governance for Business Leaders: Policy to Practice,Udemy／School of AI,國際,https://www.udemy.com/course/ai-governance-for-business-leaders-policy-to-practice/,線上課程,商業主管與AI治理負責人,政策到流程控制權責升級與dashboard,企業／主管戰情室,A級45分,2026-09-20,2026-09-20,"顧問洞察；可借decision rights、escalation paths、review thresholds、audit trails與incident response；不作法遵課"
INT-029,Agentic AI Strategies for Organizational Transformation,Georgia Tech Scheller Executive Education,美國,https://www.scheller.gatech.edu/news/2026/georgia-tech-launches-agentic-ai-strategies-for-organizational-transformation-course.html,高階主管課程,leaders managers professionals,三日主管課加治理 workforce readiness change management,企業／主管戰情室,A級43分,2026-09-20,2026-09-20,"顧問洞察；可借不教工具而教領導決策、組織準備度與變革管理；短課需降為一個試點的利害關係人圖"
INT-030,How to Mature Generative and Agentic AI Governance for Enterprise Applications,Gartner,國際,https://www.gartner.com/en/conferences/emea/applications-uk/sessions/detail/4940981-How-to-Mature-Generative-and-Agentic-AI-Governance-for-Enterprise-Applications,研討會場次,application leaders與IT治理負責人,組織治理加技術控制管理應用內Agentic AI,企業／主管戰情室,B級40分,2026-09-20,2026-09-20,"對外內容；可借megavendor應用內建Agent導致治理追不上，以及組織治理與技術控制需並行"
